"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,3.145313263E-1,9.640063345E-2,2.963876724E-1
1.999883300E-2,2.228853554E-1,4.235474765E-2,1.665897369E-1
3.999773300E-2,1.468165368E-1,4.680482671E-2,1.507339478E-1
5.999680400E-2,1.255024523E-1,5.372660235E-2,4.701232910E-2
7.999562300E-2,9.442050755E-2,1.670870930E-2,1.548385620E-2
9.999410400E-2,7.347406447E-2,3.434322029E-2,4.873561859E-2
1.199925070E-1,5.737612396E-2,-1.609072834E-2,1.395988464E-1
1.399907110E-1,4.411296546E-2,1.338633150E-2,1.021099091E-2
1.599888900E-1,1.973200589E-2,-3.238387406E-3,2.453899384E-2
1.799871580E-1,5.573809147E-3,-1.489050686E-2,5.564117432E-2
1.999855960E-1,9.212758392E-3,2.608599886E-2,5.560684204E-2
2.199839940E-1,1.857156307E-2,1.731682569E-3,7.715702057E-2
2.399822800E-1,-5.268190056E-3,1.250211895E-2,3.167724609E-2
2.599805440E-1,1.765235513E-2,1.550254971E-2,3.170681000E-2
2.799787180E-1,2.100590430E-2,-1.744820550E-2,7.001495361E-2
2.999768500E-1,-8.589750156E-3,-7.285740227E-3,2.686595917E-2
3.199748830E-1,-1.021813601E-3,-7.777266204E-3,2.686977386E-2
3.399728490E-1,-1.164026558E-3,1.258155704E-2,6.037425995E-2
3.599706490E-1,-1.412286796E-2,-1.627965644E-2,-4.226684570E-3
3.799683820E-1,8.086308837E-3,-5.759537220E-3,5.079936981E-2
3.999661820E-1,2.108762041E-3,1.898387820E-2,5.081081390E-2
4.199639820E-1,6.047157571E-3,7.748953998E-3,5.322170258E-2
4.399617820E-1,1.115524583E-2,-1.375288889E-2,5.322265625E-2
4.599595150E-1,-5.451744422E-3,-1.161004603E-2,2.209854126E-2
4.799571810E-1,-3.399550915E-4,7.611051202E-3,6.280231476E-2
4.999546470E-1,5.867805332E-3,-1.946018264E-2,2.692985535E-2
5.199520130E-1,-1.405209675E-2,1.226451248E-2,2.211761475E-2
5.399494790E-1,5.788877606E-4,5.819499493E-4,4.366588593E-2
5.599469780E-1,3.410778940E-3,3.208674490E-3,2.690505981E-2
5.799445100E-1,-3.738583997E-3,-5.839362741E-3,2.929592133E-2
5.999419760E-1,-3.648530692E-3,-5.729988217E-3,3.887271881E-2
6.199395080E-1,-1.051683351E-2,1.580698043E-2,3.408527374E-2
6.399369740E-1,8.656941354E-3,-8.137680590E-3,4.366207123E-2
6.599345060E-1,-1.495661959E-2,-1.060352474E-2,1.014423370E-2
6.799320380E-1,6.760418415E-3,6.026618183E-3,5.324268341E-2
6.999295700E-1,-2.920648083E-2,-1.042820886E-2,1.058759689E-1
7.199270360E-1,-1.684355736E-2,-7.063400000E-3,2.232236862E-1
7.399245020E-1,2.040800638E-2,1.169642061E-2,1.083021164E-1
7.599220340E-1,1.247846708E-2,6.529547274E-3,1.921014786E-1
7.799195000E-1,-2.615009621E-2,-3.060199320E-3,8.914756775E-2
7.999170320E-1,2.794574946E-3,2.470761538E-3,6.042671204E-2
8.199145980E-1,9.348979220E-3,-5.083002150E-3,1.035251617E-1
8.399121300E-1,-1.030314714E-2,-2.958275378E-3,7.476329803E-2
8.599095630E-1,-6.283797324E-2,-1.990915835E-2,7.715892792E-2
8.799069620E-1,1.311057061E-2,6.492573768E-3,1.011247635E-1
8.999044280E-1,5.749799311E-4,-1.996572316E-2,1.777410507E-1
9.199018940E-1,2.589810640E-3,2.933061868E-2,7.235908508E-2
9.398993600E-1,-3.449544311E-4,4.708394408E-2,5.083084106E-2
9.598967930E-1,-8.606232703E-3,-8.052674681E-2,3.197765350E-2
9.798943250E-1,1.247194968E-2,-2.942747995E-2,1.503658295E-2
9.998917910E-1,7.883720100E-3,-1.776806265E-2,3.893756866E-2
1.019889257E0,3.256108984E-2,2.959652990E-2,-1.377201080E-2
1.039886789E0,-2.409022115E-2,4.426866770E-3,-3.291988373E-2
1.059884321E0,3.279035911E-3,9.945507348E-2,5.812072754E-2
1.079881853E0,-8.551057428E-3,1.654298902E-1,5.575370789E-2
1.099879319E0,1.014372706E-2,-3.491887152E-1,4.379367828E-2
1.119876851E0,-5.176518857E-2,-7.479970157E-2,-6.442070007E-3
1.139874317E0,8.098277450E-2,-1.767838895E-1,-3.955841064E-3
1.159871849E0,-1.944353431E-2,-5.023610592E-2,9.910297394E-2
1.179869381E0,-3.126328588E-1,1.271498799E-1,2.983856201E-2
1.199866913E0,-3.244638443E-2,-7.725452632E-2,1.328086853E-2
1.219864379E0,-3.597736359E-4,-3.068666905E-2,5.416584015E-2
1.239861979E0,2.968139946E-2,-4.903036356E-2,4.233169556E-2
1.259859678E0,3.821521997E-2,-3.230616450E-2,6.494522095E-3
1.279857277E0,-6.353452802E-3,8.265769482E-2,-6.058692932E-2
1.299854943E0,-1.941845566E-1,1.267947108E-1,8.062171936E-2
1.319852309E0,-1.033284217E-1,-7.060450315E-2,4.244041443E-2
1.339849975E0,-1.305966526E-1,-2.291005403E-1,-2.218151093E-2
1.359847574E0,1.697956026E-2,-3.959370032E-2,8.553981781E-2
1.379846206E0,2.111539245E-2,-1.311969012E-2,7.107067108E-2
1.399843872E0,5.563400686E-2,-1.273128986E-1,-2.697467804E-2
1.419841538E0,4.356625676E-2,-1.376839876E-1,1.612377167E-2
1.439839204E0,-9.229256213E-2,1.506481767E-1,9.996223450E-2
1.459836803E0,-1.310983300E-2,2.145916224E-3,2.356815338E-2
1.479834469E0,3.149732947E-2,-5.845290050E-2,8.369922638E-2
1.499832068E0,7.284212112E-2,2.331298962E-2,8.411407471E-2
1.519829734E0,-5.649265647E-2,1.558940560E-1,1.421041489E-1
1.539827267E0,4.999189079E-2,1.181824505E-2,7.574748993E-2
1.559824733E0,-1.309670508E-1,-3.163391650E-1,6.666374207E-2
1.579822199E0,-4.758816957E-1,-4.309923649E-1,2.086925507E-1
1.599819598E0,-1.312593460E0,-2.566640675E-1,4.732627869E-1
1.619817364E0,-3.568420112E-1,3.753128052E-1,1.526760101E0
1.639814763E0,1.688032746E0,1.094773531E0,1.958121300E0
1.659812295E0,3.911654353E-1,-5.530989170E-2,1.206552505E0
1.679808794E0,-1.024315000E0,-1.665710330E0,-9.056282043E-1
1.699806326E0,-1.733631372E0,-2.391566277E0,-1.108650208E0
1.719803792E0,-1.503559351E-1,-6.276376247E-1,1.789646149E-1
1.739801258E0,2.183454633E-1,8.011193871E-1,1.090240479E0
1.759798357E0,-7.060829401E-1,9.023830891E-1,2.574248314E0
1.779795889E0,-7.997633219E-1,5.866709948E-1,3.907191277E0
1.799793421E0,-2.935683727E-1,2.714369893E-1,3.889277458E0
1.819790887E0,9.235926270E-1,7.125986218E-1,1.725264549E0
1.839788419E0,1.179129839E0,1.345641613E0,1.576772690E0
1.859785885E0,8.414208889E-1,2.242112160E-2,2.953148842E0
1.879783351E0,2.476515770E-1,-1.119526386E0,4.263529778E0
1.899780883E0,1.375163317E0,-1.062778354E0,5.027441978E0
1.919778415E0,2.406892061E0,-3.294844627E-1,4.192190170E0
1.939775947E0,1.918179750E0,-4.009511471E-1,2.751862049E0
1.959773346E0,8.773608208E-1,-1.963866949E0,1.233053684E0
1.979770812E0,9.891605377E-2,-1.010421991E0,-4.517385006E0
1.999768211E0,9.286003113E-1,-5.754265785E-1,-5.349709034E0
2.019765677E0,8.253331184E-1,-1.124505043E0,-5.903129578E-1
2.039763143E0,-3.039574623E-1,-2.013861179E0,-8.000979424E-1
2.059761075E0,-1.144998550E0,-1.061517239E0,-4.990830421E-1
2.079758541E0,-5.952849388E-1,7.800688744E-1,7.793121338E-1
2.099756007E0,1.885782242E0,3.888297081E-1,6.478357315E0
2.119753539E0,1.450380802E0,-2.823980808E0,5.970983982E0
2.139751005E0,1.392911911E0,-4.972049713E0,2.440427542E0
2.159748537E0,2.479300976E0,-4.986596584E0,-1.037668943E0
2.179746069E0,9.654989243E-1,-3.946868181E0,-3.587993622E0
2.199743601E0,-2.050813675E0,-3.738854408E0,-4.268836975E0
2.219741067E0,-1.244326591E0,-2.417518854E0,-7.708244324E-1
2.239738533E0,1.088328838E0,-2.634115934E0,-6.117832661E-1
2.259736065E0,2.153560162E0,-1.835854053E0,-1.479112625E0
2.279733631E0,9.232668877E-1,-2.277616739E0,1.262869120E0
2.299731297E0,-1.123461723E0,-2.529113293E0,2.012355804E0
2.319729030E0,-2.361838341E0,-2.779110193E0,2.294665575E0
2.339726830E0,-2.046540737E0,-3.196834564E0,-1.234235764E-1
2.359724529E0,-6.075978279E-1,-2.346815825E0,-2.042656898E0
2.379722195E0,3.892173767E-1,-3.700777531E0,-4.128551483E-2
2.399719927E0,1.021725655E0,-3.021161556E0,4.575533867E-1
2.419717659E0,-2.400660515E-1,-1.296734095E0,1.940422058E-1
2.439715391E0,-2.015055895E0,-1.218423843E0,9.430480003E-1
2.459713057E0,-1.919468164E0,-2.287635803E0,1.630503178E0
2.479710789E0,-1.638464093E0,-3.397619009E0,8.254709244E-1
2.499708455E0,-6.611536145E-1,-3.109895468E0,-1.302995682E-1
2.519706187E0,8.609483242E-1,-1.661394835E0,-5.282430649E-1
2.539703919E0,2.702630043E0,-3.270833492E-1,-2.974472046E-1
2.559701651E0,2.187891960E0,4.731080532E-1,-2.199048996E-1
2.579699284E0,1.072588444E0,-1.827623844E-1,-1.177232742E0
2.599696817E0,-8.392968178E-1,-2.433983326E0,-1.621081352E0
2.619694283E0,-1.844850540E0,-4.035836220E0,-3.725233078E-1
2.639691682E0,-1.143353462E0,-3.072929382E0,-4.851555824E-1
2.659689148E0,1.051871300E0,-9.044709802E-1,2.300796509E0
2.679686647E0,3.440750599E0,6.834629774E-1,3.423743963E0
2.699684179E0,3.701896667E0,1.317035079E0,2.143425941E0
2.719681279E0,2.724064827E0,1.133156657E0,-5.464315414E-2
2.739678745E0,1.845458984E0,-1.629779339E-1,-7.900657654E-1
2.759676277E0,-3.863725662E-1,-3.316350222E0,-1.999653816E0
2.779673809E0,-4.077596664E-1,-5.136065006E0,-2.623842001E0
2.799671341E0,1.466970444E0,-1.876911044E0,-2.309393883E-2
2.819668807E0,3.747568130E-1,3.821692467E-1,1.884437799E0
2.839666339E0,-7.753992081E-1,-1.808369398E0,2.928943157E0
2.859663638E0,-1.239242077E0,-4.004222870E0,-1.067474365E0
2.879661104E0,2.328456879E0,-4.386264801E0,-1.428708792E0
2.899658636E0,3.956045151E0,-1.006258249E0,9.742097855E-1
2.919656168E0,-8.352990150E-1,7.321412563E-1,1.902632713E0
2.939653700E0,-2.611907959E0,-2.598464489E-1,3.378959656E0
2.959651166E0,-1.627779007E-1,-1.215074182E0,2.763006687E0
2.979648665E0,2.447529793E0,-8.543418646E-1,8.856706619E-1
2.999646064E0,1.186433792E0,6.403251886E-1,2.115974426E-1
3.019643897E0,-1.491258383E0,4.910004139E-2,1.579487801E0
3.039641363E0,-1.953730583E0,-3.382484913E-1,2.229661942E0
3.059638829E0,1.829996109E-1,-2.398889065E-1,8.561382294E-1
3.079636228E0,3.206964493E0,-3.471567631E-1,8.042097092E-1
3.099633694E0,3.369536400E0,-1.727246046E-1,7.003698349E-1
3.119631226E0,1.589406013E0,-3.024252653E-1,8.850717545E-1
3.139628692E0,3.843591213E-1,2.039097548E-1,9.677562714E-1
3.159626391E0,2.936806679E-1,-2.904746532E-1,2.009649277E0
3.170493585E0,1.304662466E0,3.813505173E-3,1.755983353E0
3.190491117E0,2.840431929E0,-5.086833239E-1,8.323302269E-1
3.210488583E0,1.291593075E0,-1.576557279E0,-3.460578918E-1
3.230486115E0,-6.918597221E-1,-1.512431741E0,-2.777915001E-1
3.250483581E0,1.614766121E-1,-1.728805661E0,1.584396839E0
3.270481113E0,4.002966881E-1,-3.670875311E0,2.423564434E0
3.290478645E0,2.364244461E-1,-4.380887985E0,1.181846619E0
3.310476177E0,-1.781779289E0,-3.985132694E0,-2.405045748E0
3.330473710E0,-4.575462341E-1,-4.284204483E0,-1.592111230E0
3.350471510E0,1.136294365E0,-2.559806347E0,-1.515149832E0
3.370469476E0,-5.389194489E-1,-1.712164521E0,6.600999832E-2
3.390467442E0,-1.668626785E0,-2.648233175E0,5.508572102E0
3.410465574E0,-6.596565247E-1,-3.975378513E0,6.279756546E0
3.430463706E0,7.347240448E-1,-3.734174013E0,-7.319754362E-1
3.450461838E0,1.176272392E0,-2.582214355E0,-3.997551203E0
3.470459904E0,-3.120117188E-1,-9.176117182E-1,-3.112126589E0
3.490457970E0,-2.753424644E0,-1.831629038E0,1.045664907E0
3.510456102E0,-2.050437927E0,-1.276325107E0,5.630332947E0
3.530454234E0,-2.182391167E0,-2.863520145E0,6.497445583E0
3.550452366E0,5.276679993E-2,-4.279850006E0,2.280282974E0
3.570450432E0,8.928537369E-1,-4.378258705E0,-2.012712479E0
3.590448564E0,8.371734619E-2,-3.088644028E0,-2.388423443E0
3.610446630E0,2.218504429E0,-2.541316509E0,-1.464982986E0
3.630444629E0,2.496962547E-1,-1.265187979E0,3.734970093E-1
3.650442428E0,-1.682603359E0,-1.557474136E-1,1.960577488E0
3.670440127E0,-2.054899693E0,-1.556454420E0,1.675745487E0
3.690437727E0,-2.603684902E0,-3.589375257E0,6.682610512E-1
3.710435126E0,-2.893764734E0,-4.855606079E0,-5.547003746E-1
3.730432592E0,-1.893475533E0,-4.147574425E0,-1.021360397E0
3.750429991E0,-3.768452406E-1,-1.711172104E0,-9.829978943E-1
3.770427457E0,9.492083192E-1,5.741801262E-1,-1.240061760E0
3.790424923E0,6.440106630E-1,-5.822558403E-1,-5.170726776E-2
3.810422422E0,-1.841523647E-1,-2.690680265E0,-1.535091400E-1
3.830419888E0,-1.596015453E0,-4.224205971E0,-2.557698250E0
3.850417354E0,-8.893008232E-1,-4.573730946E0,-3.047253132E0
3.870414886E0,1.624026299E0,-1.394913673E0,5.178294182E-1
3.890412352E0,2.871798992E0,8.319234848E-1,5.067850590E0
3.910409884E0,1.893917561E0,-5.345931053E-1,6.100795269E0
3.930407416E0,-6.542434692E-1,-1.794740915E0,2.418961048E0
3.950404948E0,-1.359798431E0,-1.990504026E0,-1.913248062E0
3.970402414E0,-7.364511490E-1,-3.686857462E0,-2.070570230E0
3.990399880E0,4.279868126E0,-3.878792763E0,-2.869126797E-1
4.010397412E0,6.142790794E0,-1.520931363E0,4.746926725E-1
4.030394944E0,2.532267570E0,-9.186749458E-1,9.917523265E-1
4.050392476E0,-2.009418011E0,-2.093167305E0,1.408094406E0
4.070389942E0,-3.494976521E0,-4.171079159E0,1.468374014E0
4.090387474E0,-3.814268112E-1,-3.542153835E0,2.799610138E0
4.110384907E0,3.839634895E0,-1.009503007E0,3.486320496E0
4.130382306E0,3.264334679E0,1.432860613E0,3.184102535E0
4.150379772E0,2.951898575E-1,1.946452737E0,2.992353439E0
4.170377238E0,1.432486057E0,-7.254810333E-1,1.799253464E0
4.190374704E0,1.684718609E0,-2.427939892E0,-1.395389557E0
4.210372137E0,-2.108650208E-1,-3.021556139E0,-2.858647823E0
4.230369669E0,-1.739163876E0,-1.935780764E0,-9.893097878E-1
4.250367135E0,-6.305861473E-1,9.649789333E-2,8.494091034E-2
4.270364667E0,-1.699016094E-1,6.082411408E-1,7.570400238E-1
4.290362199E0,5.825889111E-1,4.808132052E-1,-1.204787254E0
4.310359731E0,1.512007713E-1,-5.932450294E-1,-2.834750175E0
4.330357197E0,-1.252128363E0,-1.266797185E0,-2.454413414E0
4.350354663E0,-1.524405241E0,-4.789509773E-1,-5.518655777E-1
4.370352195E0,-1.262266040E-1,1.151115894E0,1.599050522E0
4.390349661E0,-5.434534550E-1,1.568851113E0,3.295714378E0
4.410347193E0,-1.772286177E0,9.677131176E-1,3.860850334E0
4.430344826E0,-2.037371874E0,3.235526085E-1,4.971880913E0
4.450342559E0,-1.739303112E0,-2.067780495E-1,5.535826683E0
4.470340292E0,-1.612194657E0,-1.153701782E0,4.604483604E0
4.490338025E0,-1.547120571E0,-1.234565854E0,5.596830368E0
4.510335791E0,-1.847768307E0,-1.378337383E0,4.200144768E0
4.530333523E0,-2.240306616E0,-2.624710321E0,4.511409760E0
4.550331255E0,4.226895571E-1,-3.739682674E0,4.321727753E0
4.570328921E0,2.030649662E0,-3.961740971E0,3.987288475E0
4.590326653E0,1.247062564E0,-3.354401350E0,3.550020695E0
4.610324319E0,-7.905279398E-1,-4.694034576E0,2.269625664E0
4.630321985E0,6.521795690E-2,-3.495922089E0,-2.681497335E0
4.650319717E0,6.317164302E-1,-9.264230728E-1,2.490760565E0
4.670317449E0,-8.013931513E-1,-3.577740669E0,7.280417919E0
4.690315181E0,-2.911080360E0,-6.215673923E0,3.603523970E0
4.710312847E0,-3.625728130E0,-4.260009766E0,3.048661709E0
4.730310480E0,-6.405177116E-1,-2.151183128E0,2.713819981E0
4.750307946E0,1.779613853E0,-3.661299229E0,4.909796238E0
4.770305412E0,2.445825338E0,-3.851983070E0,5.241128445E0
4.790302878E0,3.162786484E0,-1.509324074E0,4.442224503E-1
4.810300344E0,4.699575901E0,-2.375554800E0,-2.182388306E-1
4.830297743E0,2.771178961E0,-3.108133554E0,-1.389360428E-1
4.850295209E0,2.795250416E0,-1.264267683E0,-5.190067291E-1
4.870292741E0,2.038932323E0,-2.377727985E0,4.362010956E-2
4.890290207E0,-8.708186746E-1,-2.940405130E0,-1.387629509E0
4.910287739E0,-2.763143539E0,-2.955875158E0,-9.338560104E-1
4.930285271E0,-2.878913403E0,-3.653334618E0,-1.818984032E0
4.950282803E0,-1.080818534E0,-3.467535973E0,-2.927305222E0
4.970280269E0,6.187541485E-1,-1.932081819E0,-3.609374046E0
4.990277735E0,5.587415695E-1,-2.242490292E0,-2.842018127E0
5.010275267E0,-4.603886604E-1,-2.961449146E0,-1.916371346E0
5.030272799E0,-1.620745420E0,-2.828320265E0,-1.930530548E0
5.050270331E0,-2.056403399E0,-2.201069832E0,-2.196997643E0
5.070267797E0,-2.225794792E0,-1.372519732E0,-1.927601814E0
5.090265329E0,-2.684701681E0,-4.394943416E-1,-1.974549294E0
5.110262795E0,-2.390480995E0,-9.632964134E-1,-2.944852829E0
5.130260261E0,-9.650866389E-1,-3.073592901E0,-4.026673317E0
5.150257727E0,-8.901782036E-1,-4.283752918E0,-1.666654587E0
5.170255193E0,-5.254428983E-1,-4.982268810E0,7.678265572E-1
5.190252659E0,-4.768504798E-1,-6.475823402E0,1.200618267E0
5.210250058E0,-5.436097980E-1,-5.861351013E0,-5.406641960E-1
5.230247524E0,3.716707230E-3,-5.939806461E0,-2.358201027E0
5.250244990E0,7.595810890E-1,-5.320801735E0,3.130949497E0
5.270242522E0,-1.261444390E-1,-7.925117493E0,2.335109472E0
5.290240054E0,-9.893188477E-1,-9.493407249E0,2.142628193E0
5.310237586E0,-2.267181635E0,-8.968038559E0,3.589957237E0
5.330235052E0,-1.501843631E-1,-9.589514732E0,3.099585533E0
5.350232518E0,1.921481609E0,-8.067018509E0,3.901994228E0
5.370230050E0,5.652047992E-1,-7.771514893E0,1.168419838E0
5.390227516E0,7.652527690E-1,-7.305476189E0,1.383306503E0
5.410225048E0,-1.869262904E-1,-5.178065300E0,3.938310623E0
5.430222580E0,-1.424867988E0,-4.197824478E0,4.339409828E0
5.450220112E0,-1.605433226E0,-3.904408693E0,5.009879112E0
5.470217645E0,-1.147890449E0,-4.043117046E0,4.759057999E0
5.490215445E0,2.815498710E-1,-3.220859051E0,4.071426392E0
5.510213411E0,2.314608574E0,-1.373491287E0,3.249331474E0
5.530211444E0,2.814124107E0,-6.695756912E-1,2.879854202E0
5.550209510E0,2.325043201E0,-1.084170341E-1,2.713906765E0
5.570207643E0,1.339826822E0,1.583828926E-1,2.659709930E0
5.590205843E0,1.165176481E-1,1.044812202E-1,2.861381531E0
5.610203976E0,-6.617498994E-1,-8.515105247E-1,3.216800690E0
5.630202109E0,-6.497900486E-1,-1.093907356E0,2.143512249E0
5.650200309E0,-4.502770305E-1,-1.040781975E0,2.034755707E0
5.670198509E0,-2.281215787E-1,-7.666268349E-1,2.376991272E0
5.690196709E0,-1.525859386E-1,-1.918807030E-1,2.069973469E0
5.710194842E0,5.723338723E-1,4.937238693E-1,2.783352375E0
5.730193042E0,1.370971799E0,7.876496315E-1,3.679244041E0
5.750191175E0,1.709341764E0,3.443927765E-1,3.580709457E0
5.770189307E0,-1.639783382E-1,-2.137269974E-1,2.499673843E0
5.790187173E0,-1.614677668E0,-3.407504559E0,4.741593361E0
5.810184939E0,-1.419764638E0,-7.178698540E0,2.651872635E0
5.830182572E0,6.525340080E-1,-5.574144363E0,2.053468704E0
5.850180105E0,3.272878647E0,-3.667082071E0,7.550420761E-1
5.870177571E0,3.914387941E0,-4.159003258E0,-2.538871765E-1
5.890174970E0,5.831495523E-1,-6.542937279E0,2.669916153E0
5.910172502E0,-4.618807316E0,-7.278801441E0,2.515701294E0
5.930170034E0,-1.923919678E0,-6.991821289E0,6.404018402E-2
5.950167566E0,1.320193529E0,-4.283322811E0,-5.942171574E0
5.970165032E0,-3.805618882E-1,-1.618121624E0,-2.852487564E-2
5.990162498E0,-3.120690584E-1,-2.467422009E0,3.078393459E0
